position,LB
minutes,832.0
passes_completed,424.0
passes,604.0
dribbles_completed,17.0
dribbles,32.0
passes_completed_short,203.0
passes_short,241.0
passes_completed_medium,173.0
passes_medium,242.0
passes_completed_long,43.0
passes_long,106.0
passes_total_distance,7453.0
passes_free_kicks,6.0
through_balls,0.0
passes_pressure,54.0
passes_switches,21.0
crosses,40.0
corner_kicks,0.0
passes_intercepted,13.0
passes_blocked,19.0
dispossessed,5.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,5.0
shots_on_target,1.0
sca,19.0
gca,2.0
xg,0.6
crosses_into_penalty_area,8.0
passes_into_final_third,24.0
passes_into_penalty_area,19.0
progressive_passes,46.0
carry_progressive_distance,1752.0
assisted_shots,14.0
fouled,5.0
pens_won,0.0
tackles,27.0
interceptions,12.0
blocks,20.0
tackles_won,14.0
dribble_tackles,12.0
dribbles_vs,20.0
pressures,154.0
pressure_regains,52.0
clearances,19.0
errors,0.0
aerials_won,12.0
aerials_lost,5.0
ball_recoveries,127.0
pens_conceded,0.0
fouls,15.0
cards_yellow_red,0.0
