position,CB
passes_completed,0.3471337579617834
passes,0.44904458598726116
dribbles_completed,0.0031847133757961785
dribbles,0.0031847133757961785
passes_completed_short,0.1464968152866242
passes_short,0.1624203821656051
passes_completed_medium,0.1592356687898089
passes_medium,0.18471337579617833
passes_completed_long,0.03821656050955414
passes_long,0.08598726114649681
passes_total_distance,6.656050955414012
passes_free_kicks,0.0031847133757961785
through_balls,0.0
passes_pressure,0.05732484076433121
passes_switches,0.0031847133757961785
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0031847133757961785
passes_blocked,0.01592356687898089
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,0.006369426751592357
gca,0.0031847133757961785
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,0.012738853503184714
passes_into_penalty_area,0.0
progressive_passes,0.01910828025477707
carry_progressive_distance,1.5923566878980893
assisted_shots,0.0
fouled,0.0031847133757961785
pens_won,0.0
tackles,0.022292993630573247
interceptions,0.0031847133757961785
blocks,0.025477707006369428
tackles_won,0.012738853503184714
dribble_tackles,0.009554140127388535
dribbles_vs,0.028662420382165606
pressures,0.1624203821656051
pressure_regains,0.05732484076433121
clearances,0.044585987261146494
errors,0.0
aerials_won,0.006369426751592357
aerials_lost,0.006369426751592357
ball_recoveries,0.09554140127388536
pens_conceded,0.006369426751592357
fouls,0.012738853503184714
cards_yellow_red,0.0
