position,CB
minutes,2725.0
passes_completed,890.0
passes,1056.0
dribbles_completed,5.0
dribbles,6.0
passes_completed_short,227.0
passes_short,254.0
passes_completed_medium,508.0
passes_medium,546.0
passes_completed_long,149.0
passes_long,239.0
passes_total_distance,19255.0
passes_free_kicks,27.0
through_balls,1.0
passes_pressure,152.0
passes_switches,25.0
crosses,1.0
corner_kicks,0.0
passes_intercepted,11.0
passes_blocked,10.0
dispossessed,4.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,7.0
shots_on_target,1.0
sca,4.0
gca,2.0
xg,1.1
crosses_into_penalty_area,1.0
passes_into_final_third,41.0
passes_into_penalty_area,1.0
progressive_passes,49.0
carry_progressive_distance,1653.0
assisted_shots,2.0
fouled,13.0
pens_won,0.0
tackles,52.0
interceptions,16.0
blocks,44.0
tackles_won,33.0
dribble_tackles,19.0
dribbles_vs,38.0
pressures,235.0
pressure_regains,72.0
clearances,243.0
errors,4.0
aerials_won,75.0
aerials_lost,36.0
ball_recoveries,278.0
pens_conceded,2.0
fouls,22.0
cards_yellow_red,0.0
