position,CM
minutes,6654.0
passes_completed,1334.0
passes,1771.0
dribbles_completed,22.0
dribbles,41.0
passes_completed_short,608.0
passes_short,764.0
passes_completed_medium,494.0
passes_medium,645.0
passes_completed_long,151.0
passes_long,239.0
passes_total_distance,22557.0
passes_free_kicks,41.0
through_balls,2.0
passes_pressure,358.0
passes_switches,35.0
crosses,15.0
corner_kicks,0.0
passes_intercepted,21.0
passes_blocked,38.0
dispossessed,31.0
goals,3.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,75.0
shots_on_target,20.0
sca,80.0
gca,7.0
xg,5.600000000000001
crosses_into_penalty_area,3.0
passes_into_final_third,108.0
passes_into_penalty_area,27.0
progressive_passes,138.0
carry_progressive_distance,3096.0
assisted_shots,35.0
fouled,25.0
pens_won,0.0
tackles,139.0
interceptions,102.0
blocks,155.0
tackles_won,90.0
dribble_tackles,40.0
dribbles_vs,135.0
pressures,1755.0
pressure_regains,473.0
clearances,103.0
errors,2.0
aerials_won,144.0
aerials_lost,145.0
ball_recoveries,736.0
pens_conceded,1.0
fouls,46.0
cards_yellow_red,0.0
