position,GK
minutes,4410.0
passes_completed,665.0
passes,1166.0
dribbles_completed,3.0
dribbles,3.0
passes_completed_short,40.0
passes_short,41.0
passes_completed_medium,237.0
passes_medium,252.0
passes_completed_long,388.0
passes_long,873.0
passes_total_distance,26519.0
passes_free_kicks,134.0
through_balls,0.0
passes_pressure,66.0
passes_switches,16.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,2.0
passes_blocked,1.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,0.0
shots_on_target,0.0
sca,2.0
gca,1.0
xg,0.0
crosses_into_penalty_area,0.0
passes_into_final_third,24.0
passes_into_penalty_area,1.0
progressive_passes,0.0
carry_progressive_distance,2022.0
assisted_shots,1.0
fouled,6.0
pens_won,0.0
tackles,1.0
interceptions,0.0
blocks,3.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,3.0
pressures,2.0
pressure_regains,0.0
clearances,2.0
errors,3.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,223.0
pens_conceded,1.0
fouls,2.0
cards_yellow_red,0.0
