position,RB
minutes,1826.0
passes_completed,1094.0
passes,1307.0
dribbles_completed,24.0
dribbles,34.0
passes_completed_short,470.0
passes_short,529.0
passes_completed_medium,465.0
passes_medium,549.0
passes_completed_long,148.0
passes_long,200.0
passes_total_distance,20691.0
passes_free_kicks,26.0
through_balls,1.0
passes_pressure,217.0
passes_switches,26.0
crosses,17.0
corner_kicks,0.0
passes_intercepted,14.0
passes_blocked,26.0
dispossessed,11.0
goals,1.0
assists,3.0
pens_made,0.0
pens_att,0.0
shots_total,11.0
shots_on_target,2.0
sca,24.0
gca,8.0
xg,0.7
crosses_into_penalty_area,1.0
passes_into_final_third,87.0
passes_into_penalty_area,2.0
progressive_passes,90.0
carry_progressive_distance,2866.0
assisted_shots,10.0
fouled,18.0
pens_won,0.0
tackles,53.0
interceptions,15.0
blocks,39.0
tackles_won,33.0
dribble_tackles,25.0
dribbles_vs,52.0
pressures,279.0
pressure_regains,90.0
clearances,49.0
errors,2.0
aerials_won,43.0
aerials_lost,26.0
ball_recoveries,271.0
pens_conceded,2.0
fouls,39.0
cards_yellow_red,0.0
