position,RM
minutes,1764.0
passes_completed,0.3866213151927438
passes,0.5289115646258503
dribbles_completed,0.026643990929705215
dribbles,0.041383219954648526
passes_completed_short,0.17687074829931973
passes_short,0.20634920634920634
passes_completed_medium,0.1292517006802721
passes_medium,0.1598639455782313
passes_completed_long,0.07766439909297052
passes_long,0.14965986394557823
passes_total_distance,7.968253968253968
passes_free_kicks,0.013038548752834467
through_balls,0.0045351473922902496
passes_pressure,0.08503401360544217
passes_switches,0.031746031746031744
crosses,0.022675736961451247
corner_kicks,0.01473922902494331
passes_intercepted,0.006802721088435374
passes_blocked,0.015306122448979591
dispossessed,0.027210884353741496
goals,0.003968253968253968
assists,0.0017006802721088435
pens_made,0.0
pens_att,0.0
shots_total,0.03344671201814059
shots_on_target,0.009070294784580499
sca,0.034013605442176874
gca,0.00510204081632653
xg,0.0018140589569160999
crosses_into_penalty_area,0.00510204081632653
passes_into_final_third,0.05612244897959184
passes_into_penalty_area,0.01417233560090703
progressive_passes,0.05215419501133787
carry_progressive_distance,1.4750566893424035
assisted_shots,0.012471655328798186
fouled,0.024376417233560092
pens_won,0.0005668934240362812
tackles,0.021541950113378686
interceptions,0.006802721088435374
blocks,0.013605442176870748
tackles_won,0.013038548752834467
dribble_tackles,0.010770975056689343
dribbles_vs,0.027777777777777776
pressures,0.1836734693877551
pressure_regains,0.045351473922902494
clearances,0.01417233560090703
errors,0.0
aerials_won,0.01020408163265306
aerials_lost,0.010770975056689343
ball_recoveries,0.08900226757369614
pens_conceded,0.0
fouls,0.015873015873015872
cards_yellow_red,0.0
