position,CM
minutes,5320.0
passes_completed,2999.0
passes,3657.0
dribbles_completed,130.0
dribbles,208.0
passes_completed_short,1559.0
passes_short,1779.0
passes_completed_medium,1074.0
passes_medium,1284.0
passes_completed_long,286.0
passes_long,447.0
passes_total_distance,49276.0
passes_free_kicks,79.0
through_balls,12.0
passes_pressure,683.0
passes_switches,58.0
crosses,122.0
corner_kicks,49.0
passes_intercepted,108.0
passes_blocked,87.0
dispossessed,119.0
goals,16.0
assists,10.0
pens_made,2.0
pens_att,4.0
shots_total,141.0
shots_on_target,49.0
sca,235.0
gca,26.0
xg,17.0
crosses_into_penalty_area,19.0
passes_into_final_third,314.0
passes_into_penalty_area,97.0
progressive_passes,353.0
carry_progressive_distance,16782.0
assisted_shots,114.0
fouled,137.0
pens_won,0.0
tackles,130.0
interceptions,27.0
blocks,82.0
tackles_won,82.0
dribble_tackles,39.0
dribbles_vs,159.0
pressures,1234.0
pressure_regains,324.0
clearances,8.0
errors,0.0
aerials_won,15.0
aerials_lost,35.0
ball_recoveries,460.0
pens_conceded,0.0
fouls,56.0
cards_yellow_red,1.0
