position,CB
minutes,6164.0
passes_completed,3083.0
passes,3552.0
dribbles_completed,5.0
dribbles,6.0
passes_completed_short,759.0
passes_short,857.0
passes_completed_medium,1700.0
passes_medium,1826.0
passes_completed_long,605.0
passes_long,818.0
passes_total_distance,69071.0
passes_free_kicks,61.0
through_balls,0.0
passes_pressure,493.0
passes_switches,147.0
crosses,7.0
corner_kicks,0.0
passes_intercepted,25.0
passes_blocked,41.0
dispossessed,5.0
goals,2.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,24.0
shots_on_target,5.0
sca,37.0
gca,1.0
xg,2.1000000000000005
crosses_into_penalty_area,3.0
passes_into_final_third,160.0
passes_into_penalty_area,8.0
progressive_passes,175.0
carry_progressive_distance,7566.0
assisted_shots,12.0
fouled,15.0
pens_won,0.0
tackles,98.0
interceptions,74.0
blocks,110.0
tackles_won,48.0
dribble_tackles,28.0
dribbles_vs,49.0
pressures,600.0
pressure_regains,196.0
clearances,283.0
errors,4.0
aerials_won,133.0
aerials_lost,91.0
ball_recoveries,648.0
pens_conceded,0.0
fouls,50.0
cards_yellow_red,0.0
