position,DM
minutes,8462.0
passes_completed,3469.0
passes,4259.0
dribbles_completed,70.0
dribbles,109.0
passes_completed_short,1548.0
passes_short,1800.0
passes_completed_medium,1516.0
passes_medium,1781.0
passes_completed_long,355.0
passes_long,537.0
passes_total_distance,61043.0
passes_free_kicks,87.0
through_balls,3.0
passes_pressure,790.0
passes_switches,49.0
crosses,39.0
corner_kicks,4.0
passes_intercepted,71.0
passes_blocked,104.0
dispossessed,62.0
goals,2.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,53.0
shots_on_target,11.0
sca,161.0
gca,11.0
xg,3.8000000000000007
crosses_into_penalty_area,13.0
passes_into_final_third,381.0
passes_into_penalty_area,56.0
progressive_passes,402.0
carry_progressive_distance,10592.0
assisted_shots,73.0
fouled,128.0
pens_won,2.0
tackles,175.0
interceptions,121.0
blocks,187.0
tackles_won,108.0
dribble_tackles,46.0
dribbles_vs,177.0
pressures,1533.0
pressure_regains,383.0
clearances,189.0
errors,0.0
aerials_won,234.0
aerials_lost,170.0
ball_recoveries,938.0
pens_conceded,0.0
fouls,92.0
cards_yellow_red,0.0
