position,RB
minutes,3993.0
passes_completed,1873.0
passes,2423.0
dribbles_completed,20.0
dribbles,35.0
passes_completed_short,801.0
passes_short,924.0
passes_completed_medium,856.0
passes_medium,1027.0
passes_completed_long,194.0
passes_long,376.0
passes_total_distance,33827.0
passes_free_kicks,34.0
through_balls,1.0
passes_pressure,384.0
passes_switches,33.0
crosses,83.0
corner_kicks,0.0
passes_intercepted,31.0
passes_blocked,93.0
dispossessed,33.0
goals,0.0
assists,3.0
pens_made,0.0
pens_att,1.0
shots_total,6.0
shots_on_target,0.0
sca,42.0
gca,6.0
xg,0.8
crosses_into_penalty_area,14.0
passes_into_final_third,140.0
passes_into_penalty_area,32.0
progressive_passes,159.0
carry_progressive_distance,5202.0
assisted_shots,19.0
fouled,60.0
pens_won,0.0
tackles,71.0
interceptions,21.0
blocks,73.0
tackles_won,35.0
dribble_tackles,28.0
dribbles_vs,72.0
pressures,513.0
pressure_regains,136.0
clearances,103.0
errors,1.0
aerials_won,49.0
aerials_lost,52.0
ball_recoveries,366.0
pens_conceded,0.0
fouls,49.0
cards_yellow_red,1.0
