position,FW
minutes,6800.0
passes_completed,1493.0
passes,2267.0
dribbles_completed,77.0
dribbles,132.0
passes_completed_short,882.0
passes_short,1246.0
passes_completed_medium,449.0
passes_medium,697.0
passes_completed_long,89.0
passes_long,167.0
passes_total_distance,21300.0
passes_free_kicks,4.0
through_balls,11.0
passes_pressure,746.0
passes_switches,24.0
crosses,37.0
corner_kicks,0.0
passes_intercepted,70.0
passes_blocked,83.0
dispossessed,157.0
goals,31.0
assists,14.0
pens_made,5.0
pens_att,5.0
shots_total,141.0
shots_on_target,63.0
sca,171.0
gca,24.0
xg,27.399999999999995
crosses_into_penalty_area,4.0
passes_into_final_third,141.0
passes_into_penalty_area,51.0
progressive_passes,161.0
carry_progressive_distance,4202.0
assisted_shots,88.0
fouled,134.0
pens_won,1.0
tackles,72.0
interceptions,21.0
blocks,76.0
tackles_won,52.0
dribble_tackles,11.0
dribbles_vs,59.0
pressures,1650.0
pressure_regains,405.0
clearances,76.0
errors,1.0
aerials_won,425.0
aerials_lost,402.0
ball_recoveries,371.0
pens_conceded,0.0
fouls,144.0
cards_yellow_red,0.0
