position,DM
minutes,8867.0
passes_completed,4312.0
passes,5367.0
dribbles_completed,88.0
dribbles,123.0
passes_completed_short,1878.0
passes_short,2229.0
passes_completed_medium,1792.0
passes_medium,2118.0
passes_completed_long,555.0
passes_long,812.0
passes_total_distance,79250.0
passes_free_kicks,42.0
through_balls,3.0
passes_pressure,978.0
passes_switches,135.0
crosses,26.0
corner_kicks,1.0
passes_intercepted,107.0
passes_blocked,105.0
dispossessed,100.0
goals,4.0
assists,4.0
pens_made,0.0
pens_att,0.0
shots_total,122.0
shots_on_target,16.0
sca,135.0
gca,19.0
xg,6.800000000000001
crosses_into_penalty_area,2.0
passes_into_final_third,406.0
passes_into_penalty_area,25.0
progressive_passes,330.0
carry_progressive_distance,7970.0
assisted_shots,43.0
fouled,77.0
pens_won,1.0
tackles,415.0
interceptions,164.0
blocks,224.0
tackles_won,262.0
dribble_tackles,100.0
dribbles_vs,294.0
pressures,2394.0
pressure_regains,765.0
clearances,260.0
errors,1.0
aerials_won,260.0
aerials_lost,176.0
ball_recoveries,1522.0
pens_conceded,4.0
fouls,165.0
cards_yellow_red,2.0
