position,RW
minutes,6580.0
passes_completed,3116.0
passes,4043.0
dribbles_completed,152.0
dribbles,239.0
passes_completed_short,1539.0
passes_short,1787.0
passes_completed_medium,1129.0
passes_medium,1360.0
passes_completed_long,390.0
passes_long,707.0
passes_total_distance,55289.0
passes_free_kicks,85.0
through_balls,7.0
passes_pressure,781.0
passes_switches,183.0
crosses,220.0
corner_kicks,268.0
passes_intercepted,88.0
passes_blocked,152.0
dispossessed,131.0
goals,18.0
assists,20.0
pens_made,5.0
pens_att,5.0
shots_total,180.0
shots_on_target,70.0
sca,396.0
gca,38.0
xg,16.2
crosses_into_penalty_area,31.0
passes_into_final_third,192.0
passes_into_penalty_area,164.0
progressive_passes,359.0
carry_progressive_distance,16845.0
assisted_shots,218.0
fouled,114.0
pens_won,3.0
tackles,105.0
interceptions,33.0
blocks,63.0
tackles_won,71.0
dribble_tackles,22.0
dribbles_vs,97.0
pressures,1378.0
pressure_regains,384.0
clearances,25.0
errors,0.0
aerials_won,21.0
aerials_lost,53.0
ball_recoveries,505.0
pens_conceded,0.0
fouls,39.0
cards_yellow_red,0.0
