position,WB
minutes,52
passes_completed,14
passes,18
dribbles_completed,1
dribbles,1
passes_completed_short,2
passes_short,2
passes_completed_medium,10
passes_medium,13
passes_completed_long,2
passes_long,3
passes_total_distance,309
passes_free_kicks,1
through_balls,0
passes_pressure,2
passes_switches,1
crosses,1
corner_kicks,0
passes_intercepted,0
passes_blocked,0
dispossessed,0
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,1
shots_on_target,1
sca,1
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,2
passes_into_penalty_area,0
progressive_passes,1
carry_progressive_distance,12
assisted_shots,0
fouled,0
pens_won,0
tackles,2
interceptions,1
blocks,1
tackles_won,0
dribble_tackles,1
dribbles_vs,3
pressures,7
pressure_regains,3
clearances,0
errors,0
aerials_won,0
aerials_lost,0
ball_recoveries,0
pens_conceded,0
fouls,0
cards_yellow_red,0
