position,AM
minutes,316.0
passes_completed,110.0
passes,143.0
dribbles_completed,5.0
dribbles,6.0
passes_completed_short,56.0
passes_short,66.0
passes_completed_medium,42.0
passes_medium,51.0
passes_completed_long,12.0
passes_long,22.0
passes_total_distance,1837.0
passes_free_kicks,3.0
through_balls,0.0
passes_pressure,30.0
passes_switches,2.0
crosses,7.0
corner_kicks,12.0
passes_intercepted,5.0
passes_blocked,5.0
dispossessed,8.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,9.0
shots_on_target,4.0
sca,20.0
gca,1.0
xg,0.7999999999999999
crosses_into_penalty_area,1.0
passes_into_final_third,8.0
passes_into_penalty_area,3.0
progressive_passes,9.0
carry_progressive_distance,380.0
assisted_shots,13.0
fouled,0.0
pens_won,0.0
tackles,4.0
interceptions,2.0
blocks,4.0
tackles_won,3.0
dribble_tackles,2.0
dribbles_vs,6.0
pressures,53.0
pressure_regains,12.0
clearances,1.0
errors,0.0
aerials_won,1.0
aerials_lost,0.0
ball_recoveries,13.0
pens_conceded,0.0
fouls,0.0
cards_yellow_red,0.0
