position,LW
minutes,563.0
passes_completed,119.0
passes,181.0
dribbles_completed,14.0
dribbles,31.0
passes_completed_short,61.0
passes_short,75.0
passes_completed_medium,32.0
passes_medium,47.0
passes_completed_long,19.0
passes_long,43.0
passes_total_distance,2012.0
passes_free_kicks,17.0
through_balls,3.0
passes_pressure,16.0
passes_switches,4.0
crosses,10.0
corner_kicks,14.0
passes_intercepted,13.0
passes_blocked,5.0
dispossessed,17.0
goals,2.0
assists,2.0
pens_made,1.0
pens_att,1.0
shots_total,13.0
shots_on_target,4.0
sca,23.0
gca,4.0
xg,1.5000000000000002
crosses_into_penalty_area,4.0
passes_into_final_third,13.0
passes_into_penalty_area,12.0
progressive_passes,17.0
carry_progressive_distance,1224.0
assisted_shots,10.0
fouled,20.0
pens_won,0.0
tackles,11.0
interceptions,6.0
blocks,6.0
tackles_won,8.0
dribble_tackles,2.0
dribbles_vs,11.0
pressures,104.0
pressure_regains,30.0
clearances,1.0
errors,0.0
aerials_won,0.0
aerials_lost,2.0
ball_recoveries,37.0
pens_conceded,0.0
fouls,7.0
cards_yellow_red,0.0
