position,CB
minutes,2433.0
passes_completed,595.0
passes,829.0
dribbles_completed,13.0
dribbles,14.0
passes_completed_short,149.0
passes_short,183.0
passes_completed_medium,279.0
passes_medium,345.0
passes_completed_long,157.0
passes_long,277.0
passes_total_distance,14231.0
passes_free_kicks,25.0
through_balls,0.0
passes_pressure,90.0
passes_switches,32.0
crosses,3.0
corner_kicks,0.0
passes_intercepted,22.0
passes_blocked,14.0
dispossessed,5.0
goals,0.0
assists,3.0
pens_made,0.0
pens_att,0.0
shots_total,8.0
shots_on_target,2.0
sca,12.0
gca,3.0
xg,0.30000000000000004
crosses_into_penalty_area,0.0
passes_into_final_third,60.0
passes_into_penalty_area,2.0
progressive_passes,52.0
carry_progressive_distance,1773.0
assisted_shots,7.0
fouled,6.0
pens_won,0.0
tackles,36.0
interceptions,34.0
blocks,52.0
tackles_won,20.0
dribble_tackles,13.0
dribbles_vs,35.0
pressures,158.0
pressure_regains,49.0
clearances,138.0
errors,0.0
aerials_won,14.0
aerials_lost,17.0
ball_recoveries,307.0
pens_conceded,1.0
fouls,13.0
cards_yellow_red,2.0
