position,CB
minutes,466.0
passes_completed,178.0
passes,217.0
dribbles_completed,1.0
dribbles,2.0
passes_completed_short,51.0
passes_short,61.0
passes_completed_medium,83.0
passes_medium,91.0
passes_completed_long,43.0
passes_long,57.0
passes_total_distance,4021.0
passes_free_kicks,6.0
through_balls,0.0
passes_pressure,37.0
passes_switches,5.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,5.0
passes_blocked,7.0
dispossessed,1.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,2.0
shots_on_target,1.0
sca,3.0
gca,0.0
xg,0.2
crosses_into_penalty_area,0.0
passes_into_final_third,9.0
passes_into_penalty_area,1.0
progressive_passes,12.0
carry_progressive_distance,572.0
assisted_shots,0.0
fouled,6.0
pens_won,0.0
tackles,12.0
interceptions,15.0
blocks,6.0
tackles_won,8.0
dribble_tackles,2.0
dribbles_vs,7.0
pressures,50.0
pressure_regains,16.0
clearances,19.0
errors,0.0
aerials_won,5.0
aerials_lost,5.0
ball_recoveries,40.0
pens_conceded,1.0
fouls,10.0
cards_yellow_red,0.0
