position,AM
minutes,153.0
passes_completed,27.0
passes,40.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,12.0
passes_short,17.0
passes_completed_medium,9.0
passes_medium,13.0
passes_completed_long,4.0
passes_long,7.0
passes_total_distance,421.0
passes_free_kicks,1.0
through_balls,0.0
passes_pressure,16.0
passes_switches,0.0
crosses,3.0
corner_kicks,1.0
passes_intercepted,1.0
passes_blocked,1.0
dispossessed,1.0
goals,1.0
assists,0.0
pens_made,1.0
pens_att,1.0
shots_total,1.0
shots_on_target,0.0
sca,0.0
gca,0.0
xg,0.8
crosses_into_penalty_area,0.0
passes_into_final_third,4.0
passes_into_penalty_area,1.0
progressive_passes,7.0
carry_progressive_distance,75.0
assisted_shots,0.0
fouled,2.0
pens_won,0.0
tackles,0.0
interceptions,5.0
blocks,2.0
tackles_won,0.0
dribble_tackles,0.0
dribbles_vs,2.0
pressures,22.0
pressure_regains,6.0
clearances,0.0
errors,0.0
aerials_won,1.0
aerials_lost,0.0
ball_recoveries,5.0
pens_conceded,0.0
fouls,1.0
cards_yellow_red,0.0
