position,LB
minutes,739.0
passes_completed,230.0
passes,364.0
dribbles_completed,11.0
dribbles,15.0
passes_completed_short,86.0
passes_short,107.0
passes_completed_medium,90.0
passes_medium,127.0
passes_completed_long,52.0
passes_long,118.0
passes_total_distance,4959.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,64.0
passes_switches,12.0
crosses,21.0
corner_kicks,0.0
passes_intercepted,7.0
passes_blocked,21.0
dispossessed,9.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,10.0
shots_on_target,0.0
sca,12.0
gca,1.0
xg,0.1
crosses_into_penalty_area,3.0
passes_into_final_third,19.0
passes_into_penalty_area,9.0
progressive_passes,27.0
carry_progressive_distance,876.0
assisted_shots,2.0
fouled,8.0
pens_won,0.0
tackles,43.0
interceptions,6.0
blocks,27.0
tackles_won,27.0
dribble_tackles,16.0
dribbles_vs,31.0
pressures,181.0
pressure_regains,54.0
clearances,28.0
errors,0.0
aerials_won,5.0
aerials_lost,6.0
ball_recoveries,90.0
pens_conceded,1.0
fouls,21.0
cards_yellow_red,0.0
