position,LM
minutes,2425.0
passes_completed,922.0
passes,1227.0
dribbles_completed,18.0
dribbles,32.0
passes_completed_short,364.0
passes_short,427.0
passes_completed_medium,368.0
passes_medium,444.0
passes_completed_long,175.0
passes_long,310.0
passes_total_distance,19042.0
passes_free_kicks,39.0
through_balls,4.0
passes_pressure,232.0
passes_switches,72.0
crosses,58.0
corner_kicks,52.0
passes_intercepted,31.0
passes_blocked,38.0
dispossessed,29.0
goals,6.0
assists,5.0
pens_made,2.0
pens_att,3.0
shots_total,44.0
shots_on_target,14.0
sca,66.0
gca,9.0
xg,5.799999999999999
crosses_into_penalty_area,8.0
passes_into_final_third,90.0
passes_into_penalty_area,24.0
progressive_passes,100.0
carry_progressive_distance,2834.0
assisted_shots,37.0
fouled,14.0
pens_won,0.0
tackles,54.0
interceptions,14.0
blocks,60.0
tackles_won,27.0
dribble_tackles,20.0
dribbles_vs,71.0
pressures,799.0
pressure_regains,183.0
clearances,26.0
errors,0.0
aerials_won,10.0
aerials_lost,28.0
ball_recoveries,210.0
pens_conceded,0.0
fouls,36.0
cards_yellow_red,0.0
