position,RW
minutes,538.0
passes_completed,175.0
passes,230.0
dribbles_completed,7.0
dribbles,7.0
passes_completed_short,78.0
passes_short,98.0
passes_completed_medium,76.0
passes_medium,97.0
passes_completed_long,20.0
passes_long,29.0
passes_total_distance,3217.0
passes_free_kicks,5.0
through_balls,0.0
passes_pressure,41.0
passes_switches,10.0
crosses,13.0
corner_kicks,3.0
passes_intercepted,4.0
passes_blocked,12.0
dispossessed,16.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,10.0
shots_on_target,5.0
sca,15.0
gca,1.0
xg,0.6
crosses_into_penalty_area,5.0
passes_into_final_third,16.0
passes_into_penalty_area,8.0
progressive_passes,17.0
carry_progressive_distance,636.0
assisted_shots,9.0
fouled,6.0
pens_won,0.0
tackles,15.0
interceptions,4.0
blocks,8.0
tackles_won,11.0
dribble_tackles,4.0
dribbles_vs,12.0
pressures,105.0
pressure_regains,23.0
clearances,2.0
errors,0.0
aerials_won,2.0
aerials_lost,10.0
ball_recoveries,42.0
pens_conceded,0.0
fouls,14.0
cards_yellow_red,1.0
