position,DM
minutes,59
passes_completed,41
passes,48
dribbles_completed,1
dribbles,1
passes_completed_short,11
passes_short,15
passes_completed_medium,26
passes_medium,28
passes_completed_long,4
passes_long,5
passes_total_distance,834
passes_free_kicks,0
through_balls,0
passes_pressure,6
passes_switches,1
crosses,0
corner_kicks,0
passes_intercepted,2
passes_blocked,2
dispossessed,0
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,0
shots_on_target,0
sca,0
gca,0
xg,0.0
crosses_into_penalty_area,0
passes_into_final_third,1
passes_into_penalty_area,0
progressive_passes,4
carry_progressive_distance,93
assisted_shots,0
fouled,0
pens_won,0
tackles,3
interceptions,0
blocks,0
tackles_won,3
dribble_tackles,1
dribbles_vs,4
pressures,11
pressure_regains,4
clearances,3
errors,0
aerials_won,0
aerials_lost,0
ball_recoveries,5
pens_conceded,0
fouls,2
cards_yellow_red,0
