position,LB
minutes,1762.0
passes_completed,840.0
passes,1085.0
dribbles_completed,18.0
dribbles,29.0
passes_completed_short,426.0
passes_short,477.0
passes_completed_medium,335.0
passes_medium,440.0
passes_completed_long,66.0
passes_long,137.0
passes_total_distance,13885.0
passes_free_kicks,19.0
through_balls,0.0
passes_pressure,191.0
passes_switches,17.0
crosses,33.0
corner_kicks,4.0
passes_intercepted,20.0
passes_blocked,21.0
dispossessed,20.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,2.0
shots_on_target,1.0
sca,25.0
gca,3.0
xg,0.1
crosses_into_penalty_area,6.0
passes_into_final_third,63.0
passes_into_penalty_area,12.0
progressive_passes,94.0
carry_progressive_distance,1805.0
assisted_shots,12.0
fouled,9.0
pens_won,0.0
tackles,40.0
interceptions,25.0
blocks,49.0
tackles_won,25.0
dribble_tackles,18.0
dribbles_vs,43.0
pressures,332.0
pressure_regains,97.0
clearances,97.0
errors,1.0
aerials_won,37.0
aerials_lost,20.0
ball_recoveries,187.0
pens_conceded,0.0
fouls,30.0
cards_yellow_red,0.0
