position,LM
minutes,1937.0
passes_completed,669.0
passes,831.0
dribbles_completed,48.0
dribbles,80.0
passes_completed_short,372.0
passes_short,416.0
passes_completed_medium,212.0
passes_medium,252.0
passes_completed_long,66.0
passes_long,117.0
passes_total_distance,11101.0
passes_free_kicks,16.0
through_balls,8.0
passes_pressure,187.0
passes_switches,35.0
crosses,22.0
corner_kicks,28.0
passes_intercepted,12.0
passes_blocked,29.0
dispossessed,60.0
goals,1.0
assists,4.0
pens_made,1.0
pens_att,3.0
shots_total,44.0
shots_on_target,23.0
sca,77.0
gca,7.0
xg,4.8999999999999995
crosses_into_penalty_area,0.0
passes_into_final_third,61.0
passes_into_penalty_area,21.0
progressive_passes,77.0
carry_progressive_distance,3888.0
assisted_shots,35.0
fouled,45.0
pens_won,2.0
tackles,16.0
interceptions,14.0
blocks,31.0
tackles_won,10.0
dribble_tackles,7.0
dribbles_vs,27.0
pressures,343.0
pressure_regains,94.0
clearances,7.0
errors,1.0
aerials_won,8.0
aerials_lost,13.0
ball_recoveries,178.0
pens_conceded,0.0
fouls,15.0
cards_yellow_red,0.0
