position,CB
minutes,1473.0
passes_completed,602.0
passes,736.0
dribbles_completed,6.0
dribbles,7.0
passes_completed_short,161.0
passes_short,190.0
passes_completed_medium,297.0
passes_medium,330.0
passes_completed_long,141.0
passes_long,199.0
passes_total_distance,13848.0
passes_free_kicks,28.0
through_balls,0.0
passes_pressure,111.0
passes_switches,38.0
crosses,4.0
corner_kicks,0.0
passes_intercepted,7.0
passes_blocked,15.0
dispossessed,3.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,8.0
shots_on_target,2.0
sca,6.0
gca,0.0
xg,0.5
crosses_into_penalty_area,3.0
passes_into_final_third,42.0
passes_into_penalty_area,5.0
progressive_passes,48.0
carry_progressive_distance,2133.0
assisted_shots,4.0
fouled,10.0
pens_won,0.0
tackles,32.0
interceptions,20.0
blocks,21.0
tackles_won,20.0
dribble_tackles,11.0
dribbles_vs,21.0
pressures,156.0
pressure_regains,46.0
clearances,56.0
errors,1.0
aerials_won,33.0
aerials_lost,13.0
ball_recoveries,150.0
pens_conceded,0.0
fouls,16.0
cards_yellow_red,0.0
