position,FW
minutes,90
passes_completed,17
passes,22
dribbles_completed,1
dribbles,3
passes_completed_short,8
passes_short,11
passes_completed_medium,8
passes_medium,9
passes_completed_long,1
passes_long,2
passes_total_distance,284
passes_free_kicks,0
through_balls,0
passes_pressure,3
passes_switches,0
crosses,3
corner_kicks,0
passes_intercepted,1
passes_blocked,0
dispossessed,3
goals,0
assists,0
pens_made,0
pens_att,0
shots_total,2
shots_on_target,0
sca,1
gca,0
xg,0.1
crosses_into_penalty_area,1
passes_into_final_third,0
passes_into_penalty_area,1
progressive_passes,3
carry_progressive_distance,104
assisted_shots,0
fouled,2
pens_won,0
tackles,1
interceptions,0
blocks,0
tackles_won,0
dribble_tackles,0
dribbles_vs,0
pressures,14
pressure_regains,2
clearances,0
errors,0
aerials_won,1
aerials_lost,4
ball_recoveries,7
pens_conceded,0
fouls,0
cards_yellow_red,0
