position,AM
minutes,1358.0
passes_completed,472.0
passes,652.0
dribbles_completed,21.0
dribbles,50.0
passes_completed_short,211.0
passes_short,245.0
passes_completed_medium,196.0
passes_medium,240.0
passes_completed_long,59.0
passes_long,141.0
passes_total_distance,8837.0
passes_free_kicks,35.0
through_balls,2.0
passes_pressure,159.0
passes_switches,32.0
crosses,32.0
corner_kicks,55.0
passes_intercepted,8.0
passes_blocked,20.0
dispossessed,63.0
goals,4.0
assists,4.0
pens_made,1.0
pens_att,1.0
shots_total,32.0
shots_on_target,13.0
sca,67.0
gca,8.0
xg,2.8000000000000003
crosses_into_penalty_area,4.0
passes_into_final_third,38.0
passes_into_penalty_area,14.0
progressive_passes,39.0
carry_progressive_distance,2583.0
assisted_shots,36.0
fouled,47.0
pens_won,0.0
tackles,27.0
interceptions,5.0
blocks,15.0
tackles_won,17.0
dribble_tackles,9.0
dribbles_vs,33.0
pressures,274.0
pressure_regains,74.0
clearances,16.0
errors,0.0
aerials_won,31.0
aerials_lost,33.0
ball_recoveries,86.0
pens_conceded,0.0
fouls,31.0
cards_yellow_red,0.0
