position,CB
minutes,803.0
passes_completed,367.0
passes,440.0
dribbles_completed,2.0
dribbles,2.0
passes_completed_short,68.0
passes_short,81.0
passes_completed_medium,197.0
passes_medium,216.0
passes_completed_long,99.0
passes_long,138.0
passes_total_distance,9066.0
passes_free_kicks,15.0
through_balls,0.0
passes_pressure,40.0
passes_switches,18.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,1.0
passes_blocked,3.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,4.0
shots_on_target,1.0
sca,9.0
gca,0.0
xg,0.30000000000000004
crosses_into_penalty_area,0.0
passes_into_final_third,18.0
passes_into_penalty_area,1.0
progressive_passes,25.0
carry_progressive_distance,469.0
assisted_shots,1.0
fouled,3.0
pens_won,0.0
tackles,18.0
interceptions,13.0
blocks,18.0
tackles_won,13.0
dribble_tackles,7.0
dribbles_vs,10.0
pressures,80.0
pressure_regains,31.0
clearances,76.0
errors,0.0
aerials_won,28.0
aerials_lost,10.0
ball_recoveries,106.0
pens_conceded,3.0
fouls,15.0
cards_yellow_red,0.0
