position,CB
minutes,1141.0
passes_completed,412.0
passes,537.0
dribbles_completed,5.0
dribbles,10.0
passes_completed_short,133.0
passes_short,145.0
passes_completed_medium,201.0
passes_medium,233.0
passes_completed_long,71.0
passes_long,141.0
passes_total_distance,8508.0
passes_free_kicks,23.0
through_balls,0.0
passes_pressure,102.0
passes_switches,7.0
crosses,2.0
corner_kicks,0.0
passes_intercepted,5.0
passes_blocked,13.0
dispossessed,2.0
goals,0.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,1.0
sca,5.0
gca,1.0
xg,0.2
crosses_into_penalty_area,0.0
passes_into_final_third,33.0
passes_into_penalty_area,2.0
progressive_passes,31.0
carry_progressive_distance,1064.0
assisted_shots,1.0
fouled,13.0
pens_won,0.0
tackles,28.0
interceptions,9.0
blocks,24.0
tackles_won,14.0
dribble_tackles,10.0
dribbles_vs,16.0
pressures,147.0
pressure_regains,46.0
clearances,41.0
errors,0.0
aerials_won,14.0
aerials_lost,10.0
ball_recoveries,121.0
pens_conceded,1.0
fouls,16.0
cards_yellow_red,0.0
