position,WB
minutes,517.0
passes_completed,169.0
passes,241.0
dribbles_completed,7.0
dribbles,12.0
passes_completed_short,51.0
passes_short,69.0
passes_completed_medium,83.0
passes_medium,102.0
passes_completed_long,32.0
passes_long,60.0
passes_total_distance,3698.0
passes_free_kicks,4.0
through_balls,0.0
passes_pressure,22.0
passes_switches,9.0
crosses,10.0
corner_kicks,0.0
passes_intercepted,4.0
passes_blocked,10.0
dispossessed,5.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,1.0
sca,7.0
gca,0.0
xg,0.1
crosses_into_penalty_area,3.0
passes_into_final_third,20.0
passes_into_penalty_area,3.0
progressive_passes,20.0
carry_progressive_distance,851.0
assisted_shots,5.0
fouled,8.0
pens_won,0.0
tackles,10.0
interceptions,5.0
blocks,7.0
tackles_won,6.0
dribble_tackles,3.0
dribbles_vs,5.0
pressures,93.0
pressure_regains,27.0
clearances,15.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,62.0
pens_conceded,0.0
fouls,3.0
cards_yellow_red,0.0
