position,CB
minutes,2483.0
passes_completed,1021.0
passes,1309.0
dribbles_completed,7.0
dribbles,12.0
passes_completed_short,367.0
passes_short,412.0
passes_completed_medium,481.0
passes_medium,573.0
passes_completed_long,163.0
passes_long,294.0
passes_total_distance,21014.0
passes_free_kicks,47.0
through_balls,0.0
passes_pressure,187.0
passes_switches,49.0
crosses,28.0
corner_kicks,0.0
passes_intercepted,13.0
passes_blocked,25.0
dispossessed,5.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,9.0
shots_on_target,3.0
sca,23.0
gca,1.0
xg,0.7
crosses_into_penalty_area,8.0
passes_into_final_third,74.0
passes_into_penalty_area,18.0
progressive_passes,87.0
carry_progressive_distance,2739.0
assisted_shots,12.0
fouled,13.0
pens_won,0.0
tackles,36.0
interceptions,46.0
blocks,54.0
tackles_won,28.0
dribble_tackles,11.0
dribbles_vs,23.0
pressures,319.0
pressure_regains,93.0
clearances,124.0
errors,0.0
aerials_won,49.0
aerials_lost,26.0
ball_recoveries,293.0
pens_conceded,0.0
fouls,36.0
cards_yellow_red,1.0
