position,LW
minutes,338.0
passes_completed,81.0
passes,105.0
dribbles_completed,1.0
dribbles,4.0
passes_completed_short,44.0
passes_short,51.0
passes_completed_medium,30.0
passes_medium,39.0
passes_completed_long,7.0
passes_long,13.0
passes_total_distance,1306.0
passes_free_kicks,2.0
through_balls,0.0
passes_pressure,27.0
passes_switches,1.0
crosses,3.0
corner_kicks,0.0
passes_intercepted,2.0
passes_blocked,3.0
dispossessed,9.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,9.0
shots_on_target,2.0
sca,13.0
gca,2.0
xg,0.8
crosses_into_penalty_area,1.0
passes_into_final_third,7.0
passes_into_penalty_area,4.0
progressive_passes,6.0
carry_progressive_distance,413.0
assisted_shots,4.0
fouled,10.0
pens_won,0.0
tackles,6.0
interceptions,2.0
blocks,7.0
tackles_won,5.0
dribble_tackles,2.0
dribbles_vs,7.0
pressures,108.0
pressure_regains,30.0
clearances,3.0
errors,0.0
aerials_won,3.0
aerials_lost,5.0
ball_recoveries,33.0
pens_conceded,0.0
fouls,5.0
cards_yellow_red,0.0
