position,CB
minutes,1991.0
passes_completed,1147.0
passes,1339.0
dribbles_completed,9.0
dribbles,12.0
passes_completed_short,286.0
passes_short,307.0
passes_completed_medium,594.0
passes_medium,645.0
passes_completed_long,259.0
passes_long,369.0
passes_total_distance,26590.0
passes_free_kicks,23.0
through_balls,4.0
passes_pressure,154.0
passes_switches,51.0
crosses,7.0
corner_kicks,1.0
passes_intercepted,15.0
passes_blocked,12.0
dispossessed,2.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,15.0
shots_on_target,4.0
sca,23.0
gca,4.0
xg,1.0999999999999999
crosses_into_penalty_area,3.0
passes_into_final_third,96.0
passes_into_penalty_area,5.0
progressive_passes,73.0
carry_progressive_distance,3011.0
assisted_shots,7.0
fouled,21.0
pens_won,0.0
tackles,22.0
interceptions,23.0
blocks,32.0
tackles_won,9.0
dribble_tackles,7.0
dribbles_vs,14.0
pressures,132.0
pressure_regains,52.0
clearances,107.0
errors,2.0
aerials_won,44.0
aerials_lost,23.0
ball_recoveries,251.0
pens_conceded,0.0
fouls,14.0
cards_yellow_red,0.0
