position,CM
minutes,541.0
passes_completed,388.0
passes,436.0
dribbles_completed,7.0
dribbles,11.0
passes_completed_short,183.0
passes_short,198.0
passes_completed_medium,164.0
passes_medium,180.0
passes_completed_long,33.0
passes_long,46.0
passes_total_distance,6637.0
passes_free_kicks,4.0
through_balls,0.0
passes_pressure,60.0
passes_switches,8.0
crosses,2.0
corner_kicks,0.0
passes_intercepted,4.0
passes_blocked,2.0
dispossessed,4.0
goals,4.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,11.0
shots_on_target,7.0
sca,15.0
gca,1.0
xg,1.8
crosses_into_penalty_area,0.0
passes_into_final_third,42.0
passes_into_penalty_area,2.0
progressive_passes,39.0
carry_progressive_distance,989.0
assisted_shots,4.0
fouled,12.0
pens_won,0.0
tackles,10.0
interceptions,8.0
blocks,11.0
tackles_won,8.0
dribble_tackles,2.0
dribbles_vs,10.0
pressures,126.0
pressure_regains,35.0
clearances,17.0
errors,0.0
aerials_won,18.0
aerials_lost,10.0
ball_recoveries,58.0
pens_conceded,0.0
fouls,15.0
cards_yellow_red,0.0
