position,DM
minutes,204.0
passes_completed,123.0
passes,133.0
dribbles_completed,1.0
dribbles,2.0
passes_completed_short,45.0
passes_short,47.0
passes_completed_medium,51.0
passes_medium,58.0
passes_completed_long,24.0
passes_long,25.0
passes_total_distance,2575.0
passes_free_kicks,4.0
through_balls,0.0
passes_pressure,24.0
passes_switches,6.0
crosses,0.0
corner_kicks,0.0
passes_intercepted,0.0
passes_blocked,0.0
dispossessed,2.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,2.0
shots_on_target,0.0
sca,7.0
gca,1.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,11.0
passes_into_penalty_area,1.0
progressive_passes,11.0
carry_progressive_distance,296.0
assisted_shots,1.0
fouled,1.0
pens_won,0.0
tackles,7.0
interceptions,1.0
blocks,5.0
tackles_won,4.0
dribble_tackles,1.0
dribbles_vs,6.0
pressures,56.0
pressure_regains,12.0
clearances,3.0
errors,0.0
aerials_won,1.0
aerials_lost,1.0
ball_recoveries,19.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
