position,FW
minutes,1181.0
passes_completed,195.0
passes,274.0
dribbles_completed,19.0
dribbles,28.0
passes_completed_short,121.0
passes_short,147.0
passes_completed_medium,54.0
passes_medium,77.0
passes_completed_long,11.0
passes_long,22.0
passes_total_distance,2670.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,91.0
passes_switches,2.0
crosses,5.0
corner_kicks,0.0
passes_intercepted,9.0
passes_blocked,16.0
dispossessed,19.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,21.0
shots_on_target,5.0
sca,25.0
gca,1.0
xg,2.4000000000000004
crosses_into_penalty_area,1.0
passes_into_final_third,11.0
passes_into_penalty_area,7.0
progressive_passes,14.0
carry_progressive_distance,763.0
assisted_shots,7.0
fouled,17.0
pens_won,1.0
tackles,19.0
interceptions,2.0
blocks,27.0
tackles_won,12.0
dribble_tackles,6.0
dribbles_vs,13.0
pressures,411.0
pressure_regains,86.0
clearances,18.0
errors,0.0
aerials_won,38.0
aerials_lost,52.0
ball_recoveries,54.0
pens_conceded,0.0
fouls,14.0
cards_yellow_red,0.0
