position,CB
minutes,1176.0
passes_completed,552.0
passes,649.0
dribbles_completed,10.0
dribbles,16.0
passes_completed_short,158.0
passes_short,166.0
passes_completed_medium,275.0
passes_medium,300.0
passes_completed_long,113.0
passes_long,168.0
passes_total_distance,12422.0
passes_free_kicks,25.0
through_balls,1.0
passes_pressure,82.0
passes_switches,33.0
crosses,4.0
corner_kicks,0.0
passes_intercepted,8.0
passes_blocked,10.0
dispossessed,3.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,4.0
shots_on_target,0.0
sca,7.0
gca,0.0
xg,0.1
crosses_into_penalty_area,0.0
passes_into_final_third,34.0
passes_into_penalty_area,1.0
progressive_passes,37.0
carry_progressive_distance,1621.0
assisted_shots,1.0
fouled,13.0
pens_won,0.0
tackles,26.0
interceptions,15.0
blocks,39.0
tackles_won,15.0
dribble_tackles,5.0
dribbles_vs,10.0
pressures,132.0
pressure_regains,42.0
clearances,65.0
errors,2.0
aerials_won,19.0
aerials_lost,16.0
ball_recoveries,124.0
pens_conceded,0.0
fouls,14.0
cards_yellow_red,0.0
