position,DM
minutes,1700.0
passes_completed,666.0
passes,770.0
dribbles_completed,5.0
dribbles,9.0
passes_completed_short,283.0
passes_short,316.0
passes_completed_medium,298.0
passes_medium,333.0
passes_completed_long,69.0
passes_long,91.0
passes_total_distance,11862.0
passes_free_kicks,12.0
through_balls,0.0
passes_pressure,129.0
passes_switches,16.0
crosses,6.0
corner_kicks,0.0
passes_intercepted,4.0
passes_blocked,14.0
dispossessed,9.0
goals,1.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,17.0
shots_on_target,6.0
sca,21.0
gca,1.0
xg,0.8999999999999999
crosses_into_penalty_area,2.0
passes_into_final_third,73.0
passes_into_penalty_area,5.0
progressive_passes,69.0
carry_progressive_distance,994.0
assisted_shots,7.0
fouled,5.0
pens_won,0.0
tackles,60.0
interceptions,14.0
blocks,52.0
tackles_won,33.0
dribble_tackles,13.0
dribbles_vs,60.0
pressures,396.0
pressure_regains,105.0
clearances,54.0
errors,0.0
aerials_won,32.0
aerials_lost,37.0
ball_recoveries,217.0
pens_conceded,1.0
fouls,43.0
cards_yellow_red,0.0
