position,LM
minutes,82.0
passes_completed,17.0
passes,22.0
dribbles_completed,0.0
dribbles,0.0
passes_completed_short,13.0
passes_short,17.0
passes_completed_medium,4.0
passes_medium,4.0
passes_completed_long,0.0
passes_long,1.0
passes_total_distance,211.0
passes_free_kicks,0.0
through_balls,0.0
passes_pressure,2.0
passes_switches,0.0
crosses,2.0
corner_kicks,0.0
passes_intercepted,3.0
passes_blocked,0.0
dispossessed,0.0
goals,0.0
assists,0.0
pens_made,0.0
pens_att,0.0
shots_total,3.0
shots_on_target,0.0
sca,2.0
gca,0.0
xg,0.2
crosses_into_penalty_area,0.0
passes_into_final_third,2.0
passes_into_penalty_area,0.0
progressive_passes,0.0
carry_progressive_distance,109.0
assisted_shots,0.0
fouled,1.0
pens_won,0.0
tackles,4.0
interceptions,3.0
blocks,2.0
tackles_won,2.0
dribble_tackles,2.0
dribbles_vs,3.0
pressures,23.0
pressure_regains,6.0
clearances,2.0
errors,0.0
aerials_won,0.0
aerials_lost,0.0
ball_recoveries,7.0
pens_conceded,0.0
fouls,2.0
cards_yellow_red,0.0
