position,CM
minutes,1047.0
passes_completed,278.0
passes,350.0
dribbles_completed,21.0
dribbles,32.0
passes_completed_short,167.0
passes_short,189.0
passes_completed_medium,77.0
passes_medium,95.0
passes_completed_long,19.0
passes_long,35.0
passes_total_distance,4177.0
passes_free_kicks,10.0
through_balls,0.0
passes_pressure,91.0
passes_switches,13.0
crosses,17.0
corner_kicks,4.0
passes_intercepted,8.0
passes_blocked,17.0
dispossessed,14.0
goals,1.0
assists,1.0
pens_made,0.0
pens_att,0.0
shots_total,10.0
shots_on_target,3.0
sca,21.0
gca,1.0
xg,1.0
crosses_into_penalty_area,1.0
passes_into_final_third,22.0
passes_into_penalty_area,6.0
progressive_passes,23.0
carry_progressive_distance,1446.0
assisted_shots,9.0
fouled,14.0
pens_won,0.0
tackles,25.0
interceptions,3.0
blocks,11.0
tackles_won,11.0
dribble_tackles,8.0
dribbles_vs,29.0
pressures,209.0
pressure_regains,47.0
clearances,7.0
errors,0.0
aerials_won,4.0
aerials_lost,6.0
ball_recoveries,84.0
pens_conceded,0.0
fouls,13.0
cards_yellow_red,0.0
