position,RM
passes_completed,-0.4245
passes,-0.3262
dribbles_completed,-0.415
dribbles,-0.0809
passes_completed_short,-0.1968
passes_short,-0.3328
passes_completed_medium,-0.5625
passes_medium,-0.5546
passes_completed_long,-0.1816
passes_long,0.3269
passes_total_distance,-0.4193
passes_free_kicks,0.4538
through_balls,-0.632
passes_pressure,-0.4945
passes_switches,-0.3227
crosses,-0.5167
corner_kicks,1.3427
passes_intercepted,0.4879
passes_blocked,-0.0393
dispossessed,1.4159
goals,0.7096
assists,-0.7711
pens_made,5.7059
pens_att,4.7001
shots_total,-1.0711
shots_on_target,-1.0285
sca,-1.2721
gca,0.1027
xg,0.5467
crosses_into_penalty_area,-0.8504
passes_into_final_third,0.0603
passes_into_penalty_area,-1.3074
progressive_passes,-0.615
carry_progressive_distance,-0.7663
assisted_shots,-0.6767
fouled,-0.6512
pens_won,-0.2935
tackles,0.1037
interceptions,-0.591
blocks,0.0086
tackles_won,-0.9609
dribble_tackles,-0.1127
dribbles_vs,1.8506
pressures,1.1865
pressure_regains,1.5386
clearances,-0.1115
errors,-0.3758
aerials_won,-0.8851
aerials_lost,-0.5478
ball_recoveries,0.4138
pens_conceded,-0.3182
fouls,-1.2339
cards_yellow_red,-0.1906
