position,RB
minutes,-0.1467
passes_completed,-0.1678
passes,0.0604
dribbles_completed,-0.2301
dribbles,-0.1119
passes_completed_short,0.1424
passes_short,0.2977
passes_completed_medium,-0.1948
passes_medium,-0.0599
passes_completed_long,-0.518
passes_long,-0.3844
passes_total_distance,-0.2674
passes_free_kicks,0.8353
through_balls,-0.632
passes_pressure,-0.3122
passes_switches,-0.7621
crosses,-0.7028
corner_kicks,-0.5565
passes_intercepted,0.4486
passes_blocked,1.964
dispossessed,-0.1528
goals,-0.3479
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.9198
shots_on_target,-0.8678
sca,-1.0928
gca,-0.4265
xg,-0.7023
crosses_into_penalty_area,-0.3865
passes_into_final_third,0.0622
passes_into_penalty_area,-0.487
progressive_passes,-0.1664
carry_progressive_distance,-0.403
assisted_shots,-1.0184
fouled,-0.2473
pens_won,-0.2935
tackles,2.6109
interceptions,1.3796
blocks,1.6698
tackles_won,2.7511
dribble_tackles,4.293
dribbles_vs,2.8081
pressures,0.1652
pressure_regains,0.5929
clearances,1.4725
errors,0.9996
aerials_won,0.9753
aerials_lost,0.2397
ball_recoveries,0.1723
pens_conceded,-0.3182
fouls,-0.5572
cards_yellow_red,-0.1906
