position,CM
minutes,357.0
passes_completed,-0.5411
passes,-0.6959
dribbles_completed,0.4248
dribbles,0.4404
passes_completed_short,-0.2666
passes_short,-0.2306
passes_completed_medium,-0.48
passes_medium,-0.6467
passes_completed_long,-0.7175
passes_long,-0.8741
passes_total_distance,-0.563
passes_free_kicks,-0.7246
through_balls,-0.6322
passes_pressure,-0.4747
passes_switches,-1.1247
crosses,-0.5121
corner_kicks,0.1613
passes_intercepted,-1.8578
passes_blocked,-1.1293
dispossessed,0.2969
goals,0.7209
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,2.1254
shots_on_target,2.0609
sca,1.7972
gca,1.2328
xg,1.1013
crosses_into_penalty_area,-0.8508
passes_into_final_third,-1.0085
passes_into_penalty_area,1.452
progressive_passes,-0.1194
carry_progressive_distance,1.0169
assisted_shots,0.4148
fouled,-0.303
pens_won,-0.2937
tackles,-0.4772
interceptions,0.4711
blocks,-0.3697
tackles_won,-0.5138
dribble_tackles,-1.4379
dribbles_vs,-0.4906
pressures,-0.3412
pressure_regains,-0.0813
clearances,-0.5601
errors,-0.376
aerials_won,-0.6297
aerials_lost,-0.2801
ball_recoveries,-1.2127
pens_conceded,-0.3183
fouls,-0.4117
cards_yellow_red,-0.1907
