position,LB
minutes,344.0
passes_completed,0.3347
passes,0.8239
dribbles_completed,0.1995
dribbles,-0.0267
passes_completed_short,0.6786
passes_short,0.6469
passes_completed_medium,-0.0131
passes_medium,0.3608
passes_completed_long,-0.0252
passes_long,1.0911
passes_total_distance,0.1154
passes_free_kicks,-0.0959
through_balls,-0.6322
passes_pressure,-0.9219
passes_switches,-0.2738
crosses,1.8852
corner_kicks,0.1884
passes_intercepted,-1.2445
passes_blocked,1.9538
dispossessed,0.3616
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.5069
shots_on_target,-1.029
sca,-0.6176
gca,-1.0103
xg,-0.8911
crosses_into_penalty_area,1.0001
passes_into_final_third,0.4582
passes_into_penalty_area,-0.0804
progressive_passes,0.6247
carry_progressive_distance,0.1485
assisted_shots,0.4832
fouled,-0.9587
pens_won,-0.2937
tackles,3.2957
interceptions,1.0979
blocks,0.1166
tackles_won,2.2815
dribble_tackles,4.7978
dribbles_vs,2.6417
pressures,-0.2029
pressure_regains,0.1967
clearances,1.8204
errors,-0.376
aerials_won,-0.0838
aerials_lost,0.0314
ball_recoveries,1.0447
pens_conceded,-0.3183
fouls,0.0738
cards_yellow_red,-0.1907
