position,LW
minutes,1706.0
passes_completed,-0.8233
passes,-0.8282
dribbles_completed,3.235
dribbles,3.3779
passes_completed_short,-0.73
passes_short,-0.5762
passes_completed_medium,-0.6754
passes_medium,-0.6511
passes_completed_long,-0.6033
passes_long,-0.8028
passes_total_distance,-0.7146
passes_free_kicks,-0.8353
through_balls,-0.2583
passes_pressure,0.6614
passes_switches,0.244
crosses,1.5619
corner_kicks,-0.4565
passes_intercepted,0.1209
passes_blocked,0.907
dispossessed,2.7047
goals,0.1831
assists,-0.7714
pens_made,1.0128
pens_att,0.7775
shots_total,1.45
shots_on_target,1.4281
sca,1.1452
gca,-0.3062
xg,0.3976
crosses_into_penalty_area,0.6421
passes_into_final_third,-0.6565
passes_into_penalty_area,-0.3179
progressive_passes,-0.5707
carry_progressive_distance,3.327
assisted_shots,0.2713
fouled,1.0436
pens_won,0.9573
tackles,-1.1575
interceptions,-0.7551
blocks,-1.3561
tackles_won,-1.2829
dribble_tackles,-0.5996
dribbles_vs,-0.7941
pressures,-0.6437
pressure_regains,-1.0939
clearances,-0.8885
errors,-0.376
aerials_won,-0.6593
aerials_lost,-0.8345
ball_recoveries,-0.959
pens_conceded,-0.3183
fouls,-1.1905
cards_yellow_red,-0.1907
