position,LM
minutes,619.0
passes_completed,0.0264
passes,0.5207
dribbles_completed,0.3602
dribbles,0.5055
passes_completed_short,0.1004
passes_short,0.185
passes_completed_medium,-0.1288
passes_medium,0.4344
passes_completed_long,0.3533
passes_long,0.789
passes_total_distance,0.0645
passes_free_kicks,-0.5074
through_balls,0.3982
passes_pressure,-0.3743
passes_switches,0.1626
crosses,1.9821
corner_kicks,-0.4187
passes_intercepted,0.5281
passes_blocked,1.7428
dispossessed,0.066
goals,0.1093
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.8752
shots_on_target,-0.3161
sca,-0.1456
gca,-0.3635
xg,-0.2643
crosses_into_penalty_area,1.7207
passes_into_final_third,-0.5572
passes_into_penalty_area,0.7386
progressive_passes,0.085
carry_progressive_distance,-0.1964
assisted_shots,0.0661
fouled,-0.4869
pens_won,-0.2937
tackles,-0.2482
interceptions,1.4028
blocks,1.5346
tackles_won,-0.3108
dribble_tackles,0.8724
dribbles_vs,0.2498
pressures,-0.0372
pressure_regains,0.1596
clearances,-0.6653
errors,-0.376
aerials_won,-0.9909
aerials_lost,-0.7235
ball_recoveries,-0.0978
pens_conceded,-0.3183
fouls,0.0745
cards_yellow_red,-0.1907
