position,RB
minutes,5870.0
passes_completed,0.4665
passes,0.841
dribbles_completed,0.2617
dribbles,0.2594
passes_completed_short,0.4808
passes_short,0.6595
passes_completed_medium,0.5316
passes_medium,0.8473
passes_completed_long,-0.0309
passes_long,0.398
passes_total_distance,0.3695
passes_free_kicks,-0.4069
through_balls,-0.3062
passes_pressure,0.3899
passes_switches,-0.5408
crosses,0.6977
corner_kicks,-0.4839
passes_intercepted,0.8019
passes_blocked,1.6262
dispossessed,-0.0441
goals,-0.5483
assists,-0.1567
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.9148
shots_on_target,-0.7283
sca,-0.3853
gca,-0.1236
xg,-0.7479
crosses_into_penalty_area,0.6135
passes_into_final_third,0.0181
passes_into_penalty_area,0.4665
progressive_passes,0.4574
carry_progressive_distance,0.8878
assisted_shots,-0.3827
fouled,-0.8992
pens_won,-0.2937
tackles,0.3176
interceptions,0.3502
blocks,0.5653
tackles_won,0.0137
dribble_tackles,0.0645
dribbles_vs,-0.1158
pressures,-0.4471
pressure_regains,-0.3885
clearances,0.591
errors,-0.376
aerials_won,0.0357
aerials_lost,-0.8499
ball_recoveries,1.1302
pens_conceded,-0.3183
fouls,0.637
cards_yellow_red,-0.1907
