position,RB
passes_completed,2.1766
passes,2.0051
dribbles_completed,-0.125
dribbles,-0.2873
passes_completed_short,2.7207
passes_short,2.4832
passes_completed_medium,1.578
passes_medium,1.5067
passes_completed_long,0.0333
passes_long,-0.148
passes_total_distance,1.382
passes_free_kicks,-0.255
through_balls,0.9397
passes_pressure,1.5896
passes_switches,-0.5524
crosses,-0.42
corner_kicks,-0.4169
passes_intercepted,1.376
passes_blocked,0.1322
dispossessed,-0.5285
goals,-0.183
assists,1.0007
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.0619
shots_on_target,-0.1068
sca,0.2895
gca,0.6487
xg,-0.3551
crosses_into_penalty_area,-0.3757
passes_into_final_third,1.8059
passes_into_penalty_area,0.0064
progressive_passes,1.4774
carry_progressive_distance,0.3343
assisted_shots,-0.0442
fouled,0.4307
pens_won,-0.3695
tackles,2.0025
interceptions,3.2105
blocks,1.4584
tackles_won,2.0159
dribble_tackles,1.4584
dribbles_vs,2.8017
pressures,1.9073
pressure_regains,1.7475
clearances,-0.4536
errors,-0.5457
aerials_won,-0.8516
aerials_lost,-0.7491
ball_recoveries,0.6466
pens_conceded,0.4122
fouls,0.3859
cards_yellow_red,-0.2618
