position,CB
minutes,917.0
passes_completed,-0.4603
passes,-0.7427
dribbles_completed,-0.0524
dribbles,-0.4029
passes_completed_short,-1.2016
passes_short,-1.4301
passes_completed_medium,0.0764
passes_medium,-0.1383
passes_completed_long,0.2707
passes_long,0.0608
passes_total_distance,-0.0538
passes_free_kicks,1.0625
through_balls,-0.6322
passes_pressure,-2.1243
passes_switches,-0.3435
crosses,-1.1359
corner_kicks,-0.5567
passes_intercepted,-0.9375
passes_blocked,-1.4355
dispossessed,-1.1928
goals,-0.1615
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-1.1285
shots_on_target,-0.7884
sca,-1.5193
gca,-1.0103
xg,-0.8206
crosses_into_penalty_area,-0.8508
passes_into_final_third,-1.1454
passes_into_penalty_area,-1.1545
progressive_passes,-1.2408
carry_progressive_distance,0.0976
assisted_shots,-1.2547
fouled,0.0585
pens_won,-0.2937
tackles,-0.2266
interceptions,0.8253
blocks,1.0433
tackles_won,0.0516
dribble_tackles,-0.6581
dribbles_vs,-0.1262
pressures,-0.2638
pressure_regains,0.1334
clearances,1.8805
errors,1.6826
aerials_won,-0.0505
aerials_lost,0.3038
ball_recoveries,0.2598
pens_conceded,2.3741
fouls,0.1806
cards_yellow_red,-0.1907
