position,FW
minutes,2.0086
passes_completed,0.5032
passes,0.6111
dribbles_completed,2.5872
dribbles,2.6697
passes_completed_short,0.8371
passes_short,0.9729
passes_completed_medium,0.2387
passes_medium,0.3765
passes_completed_long,0.2291
passes_long,0.1096
passes_total_distance,0.3566
passes_free_kicks,-0.3761
through_balls,0.781
passes_pressure,1.619
passes_switches,1.2991
crosses,1.0687
corner_kicks,-0.1769
passes_intercepted,0.7753
passes_blocked,1.6699
dispossessed,4.777
goals,3.7459
assists,1.0381
pens_made,7.2775
pens_att,7.186
shots_total,3.8867
shots_on_target,3.3921
sca,2.1296
gca,1.3684
xg,3.9911
crosses_into_penalty_area,0.8469
passes_into_final_third,0.0934
passes_into_penalty_area,1.6661
progressive_passes,0.5093
carry_progressive_distance,1.1856
assisted_shots,1.9417
fouled,3.0895
pens_won,0.7686
tackles,-0.2111
interceptions,-0.4467
blocks,0.5326
tackles_won,-0.1898
dribble_tackles,-0.4804
dribbles_vs,-0.1241
pressures,0.8734
pressure_regains,0.5849
clearances,-0.0868
errors,-0.5331
aerials_won,1.543
aerials_lost,3.0437
ball_recoveries,0.3141
pens_conceded,0.7569
fouls,2.4147
cards_yellow_red,-0.3235
