position,CB
passes_completed,2.411
passes,2.1827
dribbles_completed,-1.0613
dribbles,-1.0077
passes_completed_short,0.7279
passes_short,0.5451
passes_completed_medium,2.8845
passes_medium,2.6959
passes_completed_long,2.2996
passes_long,1.4413
passes_total_distance,2.756
passes_free_kicks,0.1629
through_balls,-0.3389
passes_pressure,0.8368
passes_switches,1.6957
crosses,-0.839
corner_kicks,-0.4808
passes_intercepted,-0.401
passes_blocked,-0.9588
dispossessed,-0.9601
goals,-0.3095
assists,-0.7279
pens_made,-0.2739
pens_att,-0.3089
shots_total,-0.4567
shots_on_target,-0.5105
sca,-0.9745
gca,-0.7016
xg,-0.467
crosses_into_penalty_area,-0.7296
passes_into_final_third,1.9246
passes_into_penalty_area,-0.7868
progressive_passes,0.6152
carry_progressive_distance,1.8028
assisted_shots,-1.0591
fouled,-0.8875
pens_won,-0.3695
tackles,0.0966
interceptions,-0.4747
blocks,0.0158
tackles_won,-0.0714
dribble_tackles,0.4397
dribbles_vs,-0.2208
pressures,-0.9559
pressure_regains,-0.6581
clearances,0.9577
errors,0.6897
aerials_won,0.7422
aerials_lost,-0.0877
ball_recoveries,1.4226
pens_conceded,-0.4415
fouls,-0.4342
cards_yellow_red,-0.2618
