position,CM
minutes,5001.0
passes_completed,-0.4184
passes,-0.5873
dribbles_completed,-0.2506
dribbles,-0.2188
passes_completed_short,0.0719
passes_short,0.0485
passes_completed_medium,-0.594
passes_medium,-0.6477
passes_completed_long,-0.692
passes_long,-1.0028
passes_total_distance,-0.6064
passes_free_kicks,-0.6398
through_balls,-0.3771
passes_pressure,-0.2582
passes_switches,-0.6815
crosses,-0.557
corner_kicks,-0.5567
passes_intercepted,-0.8875
passes_blocked,-0.2891
dispossessed,-0.2948
goals,-0.5177
assists,-0.0499
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.2715
shots_on_target,-0.4113
sca,-0.5401
gca,-0.2897
xg,-0.2834
crosses_into_penalty_area,-0.4052
passes_into_final_third,-0.4242
passes_into_penalty_area,-0.8014
progressive_passes,-0.6051
carry_progressive_distance,-0.6993
assisted_shots,-0.5168
fouled,-0.9363
pens_won,0.1331
tackles,0.2463
interceptions,-0.2828
blocks,0.0536
tackles_won,0.3352
dribble_tackles,-0.1034
dribbles_vs,0.2703
pressures,0.7518
pressure_regains,0.7676
clearances,-0.2678
errors,0.0015
aerials_won,0.9822
aerials_lost,0.8974
ball_recoveries,0.1691
pens_conceded,-0.3183
fouls,0.9573
cards_yellow_red,-0.1907
