position,CB
minutes,2644.0
passes_completed,1.1346
passes,0.8782
dribbles_completed,-0.9798
dribbles,-0.9443
passes_completed_short,0.1714
passes_short,-0.0317
passes_completed_medium,1.53
passes_medium,1.3017
passes_completed_long,1.3394
passes_long,1.0289
passes_total_distance,1.4787
passes_free_kicks,0.3837
through_balls,-0.391
passes_pressure,0.5189
passes_switches,1.3763
crosses,-1.0798
corner_kicks,-0.5567
passes_intercepted,-0.4215
passes_blocked,-1.0703
dispossessed,-1.1453
goals,-0.724
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.7966
shots_on_target,-0.6118
sca,-1.3748
gca,-0.8589
xg,-0.7199
crosses_into_penalty_area,-0.8508
passes_into_final_third,-0.0409
passes_into_penalty_area,-1.2015
progressive_passes,-0.7277
carry_progressive_distance,0.2775
assisted_shots,-1.249
fouled,-1.2519
pens_won,-0.2937
tackles,-0.5993
interceptions,-0.4275
blocks,0.1639
tackles_won,-0.5268
dribble_tackles,-0.3561
dribbles_vs,-1.0121
pressures,-1.4414
pressure_regains,-1.1741
clearances,2.5307
errors,2.4799
aerials_won,1.3297
aerials_lost,-0.0192
ball_recoveries,0.452
pens_conceded,0.6155
fouls,-1.2731
cards_yellow_red,-0.1907
