position,CB
passes_completed,0.7939
passes,0.8875
dribbles_completed,-0.677
dribbles,-0.7932
passes_completed_short,-0.5195
passes_short,-0.6319
passes_completed_medium,1.578
passes_medium,1.4849
passes_completed_long,1.0292
passes_long,1.6117
passes_total_distance,1.1654
passes_free_kicks,0.7099
through_balls,0.0284
passes_pressure,-0.3037
passes_switches,-0.3712
crosses,-1.0394
corner_kicks,-0.5565
passes_intercepted,-0.3281
passes_blocked,-0.4364
dispossessed,-1.1771
goals,-0.7238
assists,-0.3975
pens_made,-0.2418
pens_att,-0.271
shots_total,-1.3353
shots_on_target,-1.0285
sca,-1.111
gca,-0.5954
xg,-0.8908
crosses_into_penalty_area,-0.768
passes_into_final_third,0.9727
passes_into_penalty_area,-0.9067
progressive_passes,0.8986
carry_progressive_distance,0.7969
assisted_shots,-1.094
fouled,-0.9097
pens_won,-0.2935
tackles,1.8365
interceptions,1.6266
blocks,0.982
tackles_won,1.749
dribble_tackles,1.5236
dribbles_vs,1.0408
pressures,-0.5996
pressure_regains,0.0882
clearances,1.608
errors,0.6014
aerials_won,0.2935
aerials_lost,-0.214
ball_recoveries,1.1327
pens_conceded,0.9599
fouls,0.295
cards_yellow_red,-0.1906
