position,CM
minutes,1.7482
passes_completed,1.9405
passes,1.7379
dribbles_completed,0.5982
dribbles,0.7356
passes_completed_short,2.5724
passes_short,2.4576
passes_completed_medium,1.6227
passes_medium,1.5627
passes_completed_long,0.5783
passes_long,0.2897
passes_total_distance,1.4678
passes_free_kicks,0.2141
through_balls,0.9945
passes_pressure,1.4788
passes_switches,0.2593
crosses,0.9776
corner_kicks,-0.2996
passes_intercepted,1.53
passes_blocked,1.0968
dispossessed,1.6283
goals,0.3188
assists,0.5763
pens_made,-0.2258
pens_att,-0.2444
shots_total,0.3974
shots_on_target,0.2989
sca,1.0848
gca,0.6321
xg,0.1568
crosses_into_penalty_area,0.3801
passes_into_final_third,2.1968
passes_into_penalty_area,0.6296
progressive_passes,1.3664
carry_progressive_distance,0.6343
assisted_shots,0.9502
fouled,1.1086
pens_won,-0.3681
tackles,2.2364
interceptions,1.7971
blocks,1.958
tackles_won,2.4581
dribble_tackles,1.3378
dribbles_vs,1.8021
pressures,2.9797
pressure_regains,3.0271
clearances,-0.1073
errors,0.2502
aerials_won,0.6549
aerials_lost,1.1725
ball_recoveries,1.065
pens_conceded,-0.4889
fouls,2.334
cards_yellow_red,-0.3235
