position,CM
minutes,-0.8965
passes_completed,-0.7782
passes,-0.8033
dribbles_completed,-0.4088
dribbles,-0.437
passes_completed_short,-0.7406
passes_short,-0.7362
passes_completed_medium,-0.7429
passes_medium,-0.7708
passes_completed_long,-0.6695
passes_long,-0.669
passes_total_distance,-0.7645
passes_free_kicks,-0.542
through_balls,-0.073
passes_pressure,-0.7744
passes_switches,-0.6347
crosses,-0.5155
corner_kicks,-0.0296
passes_intercepted,-0.6148
passes_blocked,-0.6724
dispossessed,-0.3908
goals,-0.4721
assists,-0.5781
pens_made,-0.2258
pens_att,-0.2444
shots_total,-0.5435
shots_on_target,-0.3713
sca,-0.5788
gca,-0.6302
xg,-0.4509
crosses_into_penalty_area,-0.5536
passes_into_final_third,-0.6884
passes_into_penalty_area,-0.4983
progressive_passes,-0.6681
carry_progressive_distance,-0.7103
assisted_shots,-0.537
fouled,-0.6183
pens_won,-0.3681
tackles,-0.6629
interceptions,-0.7317
blocks,-0.8502
tackles_won,-0.6311
dribble_tackles,-0.4804
dribbles_vs,-0.639
pressures,-0.7447
pressure_regains,-0.7193
clearances,-0.6002
errors,-0.5331
aerials_won,-0.6032
aerials_lost,-0.6155
ball_recoveries,-0.7954
pens_conceded,-0.4889
fouls,-0.8108
cards_yellow_red,-0.3235
