position,RM
minutes,-0.7468
passes_completed,-1.0124
passes,-0.8692
dribbles_completed,0.0016
dribbles,0.2617
passes_completed_short,-0.6556
passes_short,-0.759
passes_completed_medium,-1.2144
passes_medium,-1.3514
passes_completed_long,-0.4769
passes_long,0.5745
passes_total_distance,-1.0269
passes_free_kicks,1.3745
through_balls,-0.632
passes_pressure,-0.9383
passes_switches,0.2976
crosses,-0.205
corner_kicks,4.1558
passes_intercepted,-0.7991
passes_blocked,-0.547
dispossessed,2.1607
goals,1.8628
assists,-0.7711
pens_made,-0.2418
pens_att,-0.271
shots_total,-0.3821
shots_on_target,0.6308
sca,0.1521
gca,-0.0061
xg,-0.4044
crosses_into_penalty_area,-0.8504
passes_into_final_third,-0.3812
passes_into_penalty_area,0.1041
progressive_passes,-1.0453
carry_progressive_distance,-0.2793
assisted_shots,0.8734
fouled,0.4695
pens_won,-0.2935
tackles,-0.0988
interceptions,-0.6932
blocks,0.8421
tackles_won,-0.2573
dribble_tackles,-0.8397
dribbles_vs,-1.1759
pressures,2.4237
pressure_regains,2.4382
clearances,-0.8793
errors,-0.3758
aerials_won,-0.6825
aerials_lost,0.0794
ball_recoveries,-0.4906
pens_conceded,-0.3182
fouls,-0.2168
cards_yellow_red,-0.1906
