position,DM
minutes,3393.0
passes_completed,2.0792
passes,1.9949
dribbles_completed,-0.3653
dribbles,-0.4586
passes_completed_short,1.9677
passes_short,1.9175
passes_completed_medium,1.8441
passes_medium,1.835
passes_completed_long,1.2026
passes_long,0.8619
passes_total_distance,1.856
passes_free_kicks,1.4505
through_balls,0.4957
passes_pressure,1.6469
passes_switches,0.5657
crosses,-0.8297
corner_kicks,-0.4056
passes_intercepted,1.0025
passes_blocked,-0.0842
dispossessed,0.1761
goals,-0.42
assists,0.5048
pens_made,-0.2419
pens_att,-0.2711
shots_total,-0.1592
shots_on_target,-0.4438
sca,0.193
gca,0.4058
xg,-0.3194
crosses_into_penalty_area,-0.5693
passes_into_final_third,2.1944
passes_into_penalty_area,0.1025
progressive_passes,3.2294
carry_progressive_distance,-0.0528
assisted_shots,0.0901
fouled,0.8078
pens_won,-0.2937
tackles,1.0451
interceptions,0.6921
blocks,0.9014
tackles_won,0.9005
dribble_tackles,1.5124
dribbles_vs,1.9571
pressures,1.0589
pressure_regains,2.1897
clearances,-0.3606
errors,0.7368
aerials_won,-0.3897
aerials_lost,-0.3908
ball_recoveries,2.0275
pens_conceded,0.4094
fouls,0.1891
cards_yellow_red,-0.1907
