position,DM
minutes,1310.0
passes_completed,1.2833
passes,1.4107
dribbles_completed,-0.258
dribbles,-0.383
passes_completed_short,0.7075
passes_short,0.7057
passes_completed_medium,1.1742
passes_medium,1.201
passes_completed_long,1.6138
passes_long,1.7276
passes_total_distance,1.445
passes_free_kicks,2.3016
through_balls,1.8023
passes_pressure,1.4278
passes_switches,2.1376
crosses,-0.0593
corner_kicks,1.2042
passes_intercepted,0.558
passes_blocked,-0.1604
dispossessed,-0.5597
goals,-0.3303
assists,-0.7714
pens_made,-0.2419
pens_att,-0.2711
shots_total,0.4056
shots_on_target,-0.1869
sca,0.1602
gca,-0.0934
xg,-0.1013
crosses_into_penalty_area,-0.1217
passes_into_final_third,1.8688
passes_into_penalty_area,-0.126
progressive_passes,1.7288
carry_progressive_distance,0.1842
assisted_shots,0.2818
fouled,-0.2731
pens_won,-0.2937
tackles,-0.0175
interceptions,0.5174
blocks,-0.4072
tackles_won,-0.3946
dribble_tackles,0.5635
dribbles_vs,1.8241
pressures,0.6955
pressure_regains,0.7133
clearances,-0.1881
errors,-0.376
aerials_won,-0.8606
aerials_lost,-0.6854
ball_recoveries,0.921
pens_conceded,-0.3183
fouls,-0.1533
cards_yellow_red,-0.1907
