position,WB
minutes,1.3788
passes_completed,1.3159
passes,1.6063
dribbles_completed,-0.006
dribbles,-0.0106
passes_completed_short,1.739
passes_short,1.7548
passes_completed_medium,1.0072
passes_medium,1.2369
passes_completed_long,0.6575
passes_long,1.373
passes_total_distance,1.076
passes_free_kicks,0.4723
through_balls,-0.073
passes_pressure,1.8601
passes_switches,1.5545
crosses,3.4541
corner_kicks,-0.005
passes_intercepted,1.53
passes_blocked,2.4174
dispossessed,0.2101
goals,-0.2085
assists,1.0381
pens_made,-0.2258
pens_att,-0.2444
shots_total,0.2994
shots_on_target,0.0411
sca,0.7548
gca,0.8425
xg,-0.3207
crosses_into_penalty_area,3.8349
passes_into_final_third,1.0893
passes_into_penalty_area,1.91
progressive_passes,1.3491
carry_progressive_distance,0.6356
assisted_shots,0.8125
fouled,0.042
pens_won,-0.3681
tackles,1.7093
interceptions,1.156
blocks,2.6176
tackles_won,1.2518
dribble_tackles,2.1934
dribbles_vs,1.4588
pressures,1.4416
pressure_regains,1.3515
clearances,0.9605
errors,0.2502
aerials_won,0.2664
aerials_lost,0.6528
ball_recoveries,1.4685
pens_conceded,-0.4889
fouls,0.2643
cards_yellow_red,-0.3235
