position,DM
minutes,-0.6063
passes_completed,-0.1218
passes,-0.2984
dribbles_completed,-0.2923
dribbles,-0.683
passes_completed_short,-0.105
passes_short,-0.208
passes_completed_medium,0.0339
passes_medium,-0.0376
passes_completed_long,-0.3955
passes_long,-0.7761
passes_total_distance,-0.2143
passes_free_kicks,-0.5134
through_balls,-0.632
passes_pressure,-0.047
passes_switches,-0.779
crosses,-0.8986
corner_kicks,-0.5565
passes_intercepted,-1.1838
passes_blocked,-0.3973
dispossessed,-0.6019
goals,-0.7238
assists,0.3803
pens_made,-0.2418
pens_att,-0.271
shots_total,-1.1836
shots_on_target,-0.6766
sca,-0.5133
gca,0.2677
xg,-0.8908
crosses_into_penalty_area,-0.8504
passes_into_final_third,-0.2177
passes_into_penalty_area,-0.1846
progressive_passes,-0.0329
carry_progressive_distance,-1.2385
assisted_shots,-0.3639
fouled,-0.889
pens_won,-0.2935
tackles,1.0909
interceptions,2.5666
blocks,1.2613
tackles_won,0.9265
dribble_tackles,0.0837
dribbles_vs,1.9111
pressures,-0.2185
pressure_regains,-0.16
clearances,1.0601
errors,-0.3758
aerials_won,-0.1251
aerials_lost,0.3138
ball_recoveries,1.0181
pens_conceded,-0.3182
fouls,0.514
cards_yellow_red,-0.1906
