position,FW
passes_completed,-0.5625
passes,-0.5892
dribbles_completed,0.3014
dribbles,0.7315
passes_completed_short,0.2299
passes_short,0.3346
passes_completed_medium,-0.8727
passes_medium,-0.8091
passes_completed_long,-0.8761
passes_long,-0.8701
passes_total_distance,-0.8501
passes_free_kicks,-0.9416
through_balls,2.7331
passes_pressure,-0.3073
passes_switches,-0.5932
crosses,0.5334
corner_kicks,0.6397
passes_intercepted,0.4254
passes_blocked,0.0871
dispossessed,0.1421
goals,2.9538
assists,2.5865
pens_made,1.7732
pens_att,1.7686
shots_total,2.6366
shots_on_target,2.6362
sca,2.2313
gca,2.4562
xg,2.3324
crosses_into_penalty_area,0.0676
passes_into_final_third,-0.4342
passes_into_penalty_area,1.5414
progressive_passes,0.0567
carry_progressive_distance,-0.2567
assisted_shots,2.3979
fouled,0.1359
pens_won,1.3015
tackles,-0.7254
interceptions,-1.1019
blocks,-1.2504
tackles_won,-0.4005
dribble_tackles,-0.9956
dribbles_vs,-0.4686
pressures,1.4165
pressure_regains,1.4822
clearances,-0.9569
errors,-0.5457
aerials_won,-0.9785
aerials_lost,-0.6913
ball_recoveries,-1.448
pens_conceded,-0.4415
fouls,0.0589
cards_yellow_red,-0.2618
